"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"003","28570","EECE 350 (3, 3)","Tchg Elem Math","TH","9:10 AM - 12:00 PM","Pai, Grace","PH 015","25","25","In-Person",
"002","28572","EECE 350 (3, 3)","Tchg Elem Math","W","1:40 PM - 4:30 PM","Pai, Grace","RA 206","25","25","In-Person",
"004","28571","EECE 350 (3, 3)","Tchg Elem Math","TH","1:00 PM - 3:40 PM","Pai, Grace","PH 015","18","25","In-Person",
"004","28566","EECE 351 (3, 3)","Tchg Elem Science","TH","1:00 PM - 3:40 PM","Saint-Hilaire, Line","PH 013","24","25","In-Person",
"002","28568","EECE 351 (3, 3)","Tchg Elem Science","W","4:35 PM - 7:05 PM",", ","PH 013","23","25","In-Person",
"001","28569","EECE 351 (3, 3)","Tchg Elem Science","W","9:10 AM - 12:00 PM","Saint-Hilaire, Line","PH 013","25","25","In-Person",
"001","28564","EECE 352 (3, 3)","Elem-Tchg Soc Stdies","W","4:35 PM - 7:05 PM","Bradt, Nancy","SB D133","20","25","In-Person",
"001","28208","EECE 360 (5, 3)","Pract 1-Curr Action","T","4:35 PM - 7:05 PM",", ","RA 210","0","25","In-Person",
"004","28235","EECE 361 (11, 6)","Practicum II: Student Teaching","TH","4:35 PM - 7:05 PM",", ","KY 423","0","10","In-Person",
"005","28234","EECE 361 (11, 6)","Practicum II: Student Teaching","TH","4:35 PM - 7:05 PM",", ","KY 425","0","10","In-Person",
"003","28236","EECE 361 (11, 6)","Practicum II: Student Teaching","TH","4:35 PM - 7:05 PM",", ","KY 325","0","10","In-Person",
"002","28237","EECE 361 (11, 6)","Practicum II: Student Teaching","TH","4:35 PM - 7:05 PM",", ","KY 323","1","10","In-Person",
"001","28238","EECE 361 (11, 6)","Practicum II: Student Teaching","TH","4:35 PM - 7:05 PM",", ","KY 318","72","10","In-Person",
"002","28246","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 318","0","10","In-Person",
"001","28247","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 316","93","10","In-Person",
